CustomerID,Recency_Days,Frequency_Count,Monetary_Value,R_score,F_score,M_score,RFM_Score,Segment
16525,8,8,3632.95,1,1,1,111,"🛑 At Risk"
12709,29,5,3600.68,3,1,1,311,Others
17675,2,10,3580.30,1,1,1,111,"🛑 At Risk"
13162,22,5,3519.71,2,1,1,211,"🛑 At Risk"
12681,15,5,3519.19,2,1,1,211,"🛑 At Risk"
14895,3,3,3426.65,1,1,1,111,"🛑 At Risk"
14299,28,5,3415.90,3,1,1,311,Others
14952,6,5,3391.94,1,1,1,111,"🛑 At Risk"
13952,6,2,3387.51,1,2,1,121,"🛑 At Risk"
14298,19,4,3346.30,2,1,1,211,"🛑 At Risk"
15044,13,6,3308.40,2,1,1,211,"🛑 At Risk"
18251,64,1,3284.88,4,4,1,441,"💎 Loyal Customers"
16713,6,7,3283.56,1,1,1,111,"🛑 At Risk"
18092,7,4,3245.00,1,1,1,111,"🛑 At Risk"
17428,70,4,3204.62,4,1,1,411,Others
15382,2,2,3156.13,1,2,1,121,"🛑 At Risk"
13225,9,3,3147.09,1,1,1,111,"🛑 At Risk"
17377,7,12,3142.16,1,1,1,111,"🛑 At Risk"
14685,17,6,3140.02,2,1,1,211,"🛑 At Risk"
16200,3,7,3107.49,1,1,1,111,"🛑 At Risk"
12437,15,4,3073.67,2,1,1,211,"🛑 At Risk"
17404,8,3,3055.87,1,1,1,111,"🛑 At Risk"
12380,9,2,3017.30,1,2,1,121,"🛑 At Risk"
13758,19,4,2995.65,2,1,1,211,"🛑 At Risk"
12682,13,6,2993.50,2,1,1,211,"🛑 At Risk"
14828,27,3,2984.36,3,1,1,311,Others
12510,21,5,2984.33,2,1,1,211,"🛑 At Risk"
14062,41,3,2976.18,4,1,1,411,Others
15640,6,5,2939.35,1,1,1,111,"🛑 At Risk"
16327,9,3,2817.18,1,1,1,111,"🛑 At Risk"
14134,1,4,2805.14,1,1,1,111,"🛑 At Risk"
13001,6,3,2760.00,1,1,1,111,"🛑 At Risk"
13319,22,7,2730.01,2,1,1,211,"🛑 At Risk"
18223,16,4,2712.16,2,1,1,211,"🛑 At Risk"
16422,7,5,2693.58,1,1,1,111,"🛑 At Risk"
12714,47,2,2652.84,4,2,1,421,Others
15291,13,7,2630.30,2,1,1,211,"🛑 At Risk"
17139,5,3,2611.21,1,1,1,111,"🛑 At Risk"
14961,72,2,2608.47,4,2,1,421,Others
12931,5,6,2596.45,1,1,1,111,"🛑 At Risk"
16986,20,6,2591.85,2,1,1,211,"🛑 At Risk"
12980,2,3,2591.28,1,1,1,111,"🛑 At Risk"
12647,15,4,2571.43,2,1,1,211,"🛑 At Risk"
15601,16,6,2541.15,2,1,1,211,"🛑 At Risk"
13564,19,7,2523.13,2,1,1,211,"🛑 At Risk"
14543,9,5,2482.50,1,1,1,111,"🛑 At Risk"
14040,6,6,2469.29,1,1,1,111,"🛑 At Risk"
12758,85,1,2454.68,5,5,1,551,"💎 Loyal Customers"
15372,8,4,2416.08,1,1,1,111,"🛑 At Risk"
14081,2,6,2405.88,1,1,1,111,"🛑 At Risk"
16467,5,3,2391.56,1,1,1,111,"🛑 At Risk"
14667,2,6,2361.91,1,1,1,111,"🛑 At Risk"
16746,15,6,2361.15,2,1,1,211,"🛑 At Risk"
16019,34,5,2344.41,3,1,1,311,Others
16210,41,6,2344.34,4,1,1,411,Others
16749,71,1,2343.72,4,4,1,441,"💎 Loyal Customers"
17858,7,4,2341.93,1,1,1,111,"🛑 At Risk"
12678,47,2,2310.30,4,2,1,421,Others
17706,36,2,2278.07,3,2,1,321,Others
17157,6,7,2265.52,1,1,1,111,"🛑 At Risk"
16985,2,4,2252.35,1,1,1,111,"🛑 At Risk"
15093,10,3,2240.64,1,1,1,111,"🛑 At Risk"
15615,6,5,2186.80,1,1,1,111,"🛑 At Risk"
13468,8,8,2173.88,1,1,1,111,"🛑 At Risk"
14085,6,5,2144.23,1,1,1,111,"🛑 At Risk"
16843,22,2,2130.51,2,2,1,221,"🛑 At Risk"
14051,21,4,2061.92,2,1,1,211,"🛑 At Risk"
14030,2,5,2045.14,1,1,1,111,"🛑 At Risk"
17364,7,5,2036.54,1,1,1,111,"🛑 At Risk"
12472,16,2,2035.41,2,2,1,221,"🛑 At Risk"
12835,9,13,2031.55,1,1,1,111,"🛑 At Risk"
13831,27,5,2031.52,3,1,1,311,Others
13599,21,3,2021.04,2,1,1,211,"🛑 At Risk"
13085,26,6,2017.20,3,1,1,311,Others
16772,47,2,2001.10,4,2,1,421,Others
14739,14,4,1986.29,2,1,1,211,"🛑 At Risk"
13091,76,2,1976.00,5,2,1,521,"⚠️ Big Spenders Slipping"
18051,1,6,1975.30,1,1,1,111,"🛑 At Risk"
16067,22,1,1970.76,2,3,1,231,Others
12557,69,1,1952.64,4,4,1,441,"💎 Loyal Customers"
14016,22,2,1930.89,2,2,1,221,"🛑 At Risk"
16709,21,2,1926.15,2,2,1,221,"🛑 At Risk"
13178,2,3,1912.34,1,1,1,111,"🛑 At Risk"
17593,73,3,1887.44,5,2,1,521,"⚠️ Big Spenders Slipping"
15738,13,6,1808.80,2,1,1,211,"🛑 At Risk"
12531,33,1,1807.98,3,4,1,341,"📈 Potential Loyalists"
13097,29,4,1788.55,3,1,1,311,Others
17739,7,4,1780.42,1,1,1,111,"🛑 At Risk"
17400,5,2,1775.31,1,2,1,121,"🛑 At Risk"
12668,24,1,1755.74,2,3,1,231,Others
15998,36,3,1736.39,3,1,1,311,Others
13141,19,3,1731.78,2,1,1,211,"🛑 At Risk"
17138,20,1,1728.58,2,3,1,231,Others
16550,19,5,1714.13,2,1,1,211,"🛑 At Risk"
17409,33,2,1712.08,3,2,1,321,Others
13004,5,5,1707.70,1,1,1,111,"🛑 At Risk"
17032,41,2,1702.70,4,2,1,421,Others
14505,3,3,1698.32,1,1,1,111,"🛑 At Risk"
18172,6,3,1687.51,1,1,1,111,"🛑 At Risk"
15179,33,2,1684.30,3,2,1,321,Others
15270,21,4,1681.96,2,1,1,211,"🛑 At Risk"
17160,16,3,1680.23,2,1,1,211,"🛑 At Risk"
14831,27,3,1676.57,3,1,1,311,Others
15555,23,3,1675.29,2,1,1,211,"🛑 At Risk"
16736,70,3,1671.13,4,1,1,411,Others
12540,23,4,1664.88,2,1,1,211,"🛑 At Risk"
16013,41,3,1660.65,4,1,1,411,Others
15984,36,4,1657.69,3,1,1,311,Others
14560,3,7,1650.60,1,1,1,111,"🛑 At Risk"
13448,27,3,1649.40,3,1,1,311,Others
17625,24,2,1648.94,3,2,1,321,Others
12455,68,1,1636.43,4,4,1,441,"💎 Loyal Customers"
15480,23,2,1636.38,2,2,1,221,"🛑 At Risk"
13931,72,3,1630.06,4,2,1,421,Others
13394,6,4,1619.41,1,1,1,111,"🛑 At Risk"
17107,24,1,1614.39,3,3,1,331,"📈 Potential Loyalists"
14286,82,1,1610.52,5,5,1,551,"💎 Loyal Customers"
18087,19,6,1610.10,2,1,1,211,"🛑 At Risk"
13562,21,3,1600.00,2,1,1,211,"🛑 At Risk"
15805,9,3,1597.02,1,1,1,111,"🛑 At Risk"
15002,7,3,1595.27,1,1,1,111,"🛑 At Risk"
12623,43,1,1579.72,4,4,1,441,"💎 Loyal Customers"
17965,16,4,1574.16,2,1,1,211,"🛑 At Risk"
12683,15,3,1557.66,2,1,1,211,"🛑 At Risk"
12917,77,1,1552.90,5,5,1,551,"💎 Loyal Customers"
13174,27,3,1547.17,3,1,1,311,Others
15867,5,5,1545.99,1,1,1,111,"🛑 At Risk"
14440,33,2,1532.45,3,2,1,321,Others
16104,24,4,1514.19,3,1,1,311,Others
12490,15,4,1509.46,2,1,1,211,"🛑 At Risk"
15032,76,1,1505.40,5,5,1,551,"💎 Loyal Customers"
13819,16,3,1502.00,2,1,1,211,"🛑 At Risk"
14135,77,2,1489.20,5,2,1,521,"⚠️ Big Spenders Slipping"
15194,69,4,1487.04,4,1,1,411,Others
15005,6,6,1479.48,1,1,1,111,"🛑 At Risk"
14769,47,2,1478.38,4,2,1,421,Others
17508,41,2,1470.22,4,2,1,421,Others
15514,63,3,1469.69,4,1,1,411,Others
14669,8,3,1465.93,1,1,1,111,"🛑 At Risk"
16873,15,1,1460.70,2,3,1,231,Others
12978,34,3,1447.83,3,1,1,311,Others
12358,78,1,1429.83,5,5,1,551,"💎 Loyal Customers"
14113,8,5,1421.19,1,1,1,111,"🛑 At Risk"
15754,2,1,1420.35,1,3,1,131,Others
17610,2,4,1417.69,1,1,1,111,"🛑 At Risk"
17809,27,3,1415.70,3,1,1,311,Others
15497,21,3,1405.51,2,1,1,211,"🛑 At Risk"
15641,31,3,1405.16,3,1,1,311,Others
14514,30,2,1393.63,3,2,1,321,Others
13327,29,3,1392.82,3,1,1,311,Others
13267,26,4,1389.54,3,1,1,311,Others
16335,3,4,1385.68,1,1,1,111,"🛑 At Risk"
13407,8,1,1384.02,1,3,1,131,Others
17576,7,5,1379.95,1,1,1,111,"🛑 At Risk"
16954,12,2,1378.96,1,2,1,121,"🛑 At Risk"
16125,13,4,1375.26,2,1,1,211,"🛑 At Risk"
16858,12,4,1365.16,1,1,1,111,"🛑 At Risk"
15547,34,2,1357.78,3,2,1,321,Others
12613,72,1,1350.81,4,5,1,451,"💎 Loyal Customers"
17851,40,4,1344.60,4,1,1,411,Others
16718,24,2,1344.27,3,2,1,321,Others
16670,37,2,1342.64,3,2,1,321,Others
15874,13,3,1340.15,2,1,1,211,"🛑 At Risk"
14735,15,6,1338.71,2,1,1,211,"🛑 At Risk"
18061,16,6,1331.16,2,1,1,211,"🛑 At Risk"
16131,84,1,1317.97,5,5,1,551,"💎 Loyal Customers"
17829,2,1,1310.30,1,3,1,131,Others
14732,7,5,1307.69,1,1,1,111,"🛑 At Risk"
13983,41,2,1307.57,4,2,1,421,Others
16353,15,9,1301.50,2,1,1,211,"🛑 At Risk"
17873,20,4,1294.55,2,1,1,211,"🛑 At Risk"
12747,6,5,1292.00,1,1,1,111,"🛑 At Risk"
17115,27,2,1280.96,3,2,1,321,Others
15078,8,3,1278.66,1,1,1,111,"🛑 At Risk"
17412,24,4,1277.59,3,1,1,311,Others
15513,42,1,1273.50,4,4,1,441,"💎 Loyal Customers"
16057,2,2,1265.43,1,2,1,121,"🛑 At Risk"
14293,34,3,1259.35,3,1,1,311,Others
14215,34,2,1259.11,3,2,1,321,Others
13869,38,1,1258.38,4,4,1,441,"💎 Loyal Customers"
18008,6,3,1241.15,1,1,1,111,"🛑 At Risk"
13156,15,2,1239.60,2,2,1,221,"🛑 At Risk"
13491,20,5,1227.39,2,1,1,211,"🛑 At Risk"
14422,15,3,1223.63,2,1,1,211,"🛑 At Risk"
15485,28,3,1222.92,3,1,1,311,Others
12913,44,3,1220.73,4,1,1,411,Others
14841,64,3,1215.80,4,1,1,411,Others
15296,34,1,1210.43,3,4,1,341,"📈 Potential Loyalists"
16940,8,2,1210.13,1,2,1,121,"🛑 At Risk"
14415,12,2,1202.32,1,2,1,121,"🛑 At Risk"
15983,73,3,1199.59,5,2,1,521,"⚠️ Big Spenders Slipping"
16710,16,4,1193.02,2,1,1,211,"🛑 At Risk"
15712,17,3,1192.60,2,1,1,211,"🛑 At Risk"
15911,7,5,1191.43,1,1,1,111,"🛑 At Risk"
17581,22,6,1188.95,2,1,1,211,"🛑 At Risk"
15465,5,6,1188.45,1,1,1,111,"🛑 At Risk"
13526,85,2,1182.00,5,3,1,531,"💎 Loyal Customers"
15523,76,3,1173.53,5,2,1,521,"⚠️ Big Spenders Slipping"
16656,5,3,1170.48,1,1,1,111,"🛑 At Risk"
14194,31,2,1164.82,3,2,1,321,Others
12549,28,4,1159.37,3,1,1,311,Others
12439,29,2,1158.18,3,2,1,321,Others
17819,63,2,1157.10,4,2,1,421,Others
16560,10,3,1153.71,1,1,1,111,"🛑 At Risk"
13027,12,3,1152.00,1,1,1,111,"🛑 At Risk"
15358,42,3,1147.56,4,1,1,411,Others
14540,23,4,1143.91,2,1,1,211,"🛑 At Risk"
16569,20,3,1143.39,2,1,1,211,"🛑 At Risk"
14944,7,2,1143.00,1,2,1,121,"🛑 At Risk"
14869,10,2,1142.41,1,2,1,121,"🛑 At Risk"
14702,27,3,1137.60,3,1,1,311,Others
14146,21,2,1134.11,2,2,1,221,"🛑 At Risk"
12600,6,5,1133.07,1,1,1,111,"🛑 At Risk"
12733,36,1,1130.22,3,4,1,341,"📈 Potential Loyalists"
15039,15,7,1127.15,2,1,1,211,"🛑 At Risk"
14653,29,3,1126.03,3,1,1,311,Others
13953,20,2,1125.00,2,2,1,221,"🛑 At Risk"
12431,40,2,1120.27,4,2,1,421,Others
15369,23,4,1120.00,2,1,1,211,"🛑 At Risk"
17861,28,3,1118.74,3,1,1,311,Others
16701,8,3,1116.50,1,1,1,111,"🛑 At Risk"
17457,47,2,1115.40,4,2,1,421,Others
13941,28,2,1113.14,3,2,1,321,Others
15222,22,4,1109.64,2,1,1,211,"🛑 At Risk"
12957,75,1,1107.95,5,5,1,551,"💎 Loyal Customers"
16556,47,3,1099.20,4,1,1,411,Others
14590,16,7,1098.02,2,1,1,211,"🛑 At Risk"
12839,29,4,1095.08,3,1,1,311,Others
18231,5,4,1091.26,1,1,1,111,"🛑 At Risk"
15326,19,3,1090.37,2,1,1,211,"🛑 At Risk"
17700,29,2,1084.97,3,2,1,321,Others
17465,26,3,1084.87,3,1,1,311,Others
13576,2,3,1078.95,1,1,1,111,"🛑 At Risk"
17603,26,2,1072.11,3,2,1,321,Others
13520,13,2,1067.08,2,2,1,221,"🛑 At Risk"
16253,36,2,1055.53,3,2,1,321,Others
17754,41,3,1055.11,4,1,1,411,Others
17213,38,3,1054.48,4,1,1,411,Others
15898,22,5,1054.26,2,1,1,211,"🛑 At Risk"
12989,10,5,1050.54,1,1,1,111,"🛑 At Risk"
13623,34,2,1050.04,3,2,1,321,Others
16933,35,2,1043.95,3,2,1,321,Others
16700,30,3,1034.88,3,1,1,311,Others
14625,27,2,1034.07,3,2,1,321,Others
14546,17,2,1032.64,2,2,1,221,"🛑 At Risk"
13735,34,2,1028.07,3,2,1,321,Others
15719,30,3,1026.37,3,1,1,311,Others
13557,26,4,1026.32,3,1,1,311,Others
14401,13,3,1024.74,2,1,1,211,"🛑 At Risk"
12836,8,3,1024.22,1,1,1,111,"🛑 At Risk"
17146,22,1,1023.60,2,3,1,231,Others
13042,22,2,1022.20,2,2,1,221,"🛑 At Risk"
14421,30,2,1021.50,3,2,1,321,Others
17469,6,3,1020.99,1,1,1,111,"🛑 At Risk"
13711,31,4,1019.90,3,1,1,311,Others
18268,15,3,1019.02,2,1,1,211,"🛑 At Risk"
13999,45,3,1013.35,4,1,1,411,Others
14849,2,2,1013.08,1,2,1,121,"🛑 At Risk"
15527,12,4,1012.24,1,1,1,111,"🛑 At Risk"
14709,21,3,1008.25,2,1,1,211,"🛑 At Risk"
12435,84,1,1008.00,5,5,1,551,"💎 Loyal Customers"
17231,20,5,1002.98,2,1,1,211,"🛑 At Risk"
15544,6,2,995.63,1,2,1,121,"🛑 At Risk"
12867,10,2,995.57,1,2,1,121,"🛑 At Risk"
16619,2,1,995.21,1,3,1,131,Others
17044,79,1,990.48,5,5,1,551,"💎 Loyal Customers"
15581,31,12,989.98,3,1,1,311,Others
14564,82,1,989.18,5,5,1,551,"💎 Loyal Customers"
15176,14,1,988.04,2,3,1,231,Others
15680,8,3,987.21,1,1,1,111,"🛑 At Risk"
15755,12,3,987.16,1,1,1,111,"🛑 At Risk"
14695,79,2,984.03,5,3,1,531,"💎 Loyal Customers"
13658,19,1,982.26,2,3,1,231,Others
14110,24,3,980.97,2,1,1,211,"🛑 At Risk"
13381,8,2,980.39,1,2,2,122,"🛑 At Risk"
13050,10,3,975.76,1,1,2,112,"🛑 At Risk"
17646,7,3,975.25,1,1,2,112,"🛑 At Risk"
13253,50,1,974.39,4,4,2,442,"💎 Loyal Customers"
13204,78,1,966.66,5,5,2,552,"💎 Loyal Customers"
17799,33,2,962.80,3,2,2,322,Others
16308,71,1,960.00,4,4,2,442,"💎 Loyal Customers"
18041,13,3,957.95,2,1,2,212,"🛑 At Risk"
15586,6,2,955.26,1,2,2,122,"🛑 At Risk"
14256,41,1,953.50,4,4,2,442,"💎 Loyal Customers"
15727,31,1,950.72,3,4,2,342,"📈 Potential Loyalists"
14329,30,2,948.42,3,2,2,322,Others
12872,10,3,947.59,1,1,2,112,"🛑 At Risk"
17211,23,3,947.26,2,1,2,212,"🛑 At Risk"
13317,7,2,944.87,1,2,2,122,"🛑 At Risk"
17611,31,2,943.03,3,2,2,322,Others
13426,70,2,942.27,4,2,2,422,Others
16553,7,3,940.67,1,1,2,112,"🛑 At Risk"
17969,19,8,937.21,2,1,2,212,"🛑 At Risk"
15046,20,3,935.03,2,1,2,212,"🛑 At Risk"
16584,8,1,931.72,1,3,2,132,Others
12396,21,1,931.43,2,3,2,232,Others
13503,8,2,931.02,1,2,2,122,"🛑 At Risk"
12533,85,1,929.92,5,5,2,552,"💎 Loyal Customers"
13590,28,2,925.42,3,2,2,322,Others
16945,21,3,925.01,2,1,2,212,"🛑 At Risk"
13823,19,2,924.48,2,2,2,222,"🛑 At Risk"
14032,30,3,922.98,3,1,2,312,Others
15494,76,1,917.76,5,5,2,552,"💎 Loyal Customers"
16485,3,2,917.74,1,2,2,122,"🛑 At Risk"
16366,27,2,908.89,3,2,2,322,Others
17082,71,2,908.20,4,2,2,422,Others
17389,82,1,908.04,5,5,2,552,"💎 Loyal Customers"
14341,10,4,907.53,1,1,2,112,"🛑 At Risk"
17954,12,4,906.88,2,1,2,212,"🛑 At Risk"
14969,50,1,906.23,4,4,2,442,"💎 Loyal Customers"
15633,12,3,905.34,1,1,2,112,"🛑 At Risk"
13693,31,5,904.41,3,1,2,312,Others
17145,5,1,897.03,1,3,2,132,Others
14282,9,1,897.00,1,3,2,132,Others
17085,13,5,894.86,2,1,2,212,"🛑 At Risk"
13393,2,3,888.37,1,1,2,112,"🛑 At Risk"
17961,5,21,882.65,1,1,2,112,"🛑 At Risk"
12406,44,1,881.20,4,4,2,442,"💎 Loyal Customers"
13768,73,2,875.97,4,2,2,422,Others
13901,7,2,875.59,1,2,2,122,"🛑 At Risk"
15077,77,1,873.48,5,5,2,552,"💎 Loyal Customers"
14290,78,1,870.63,5,5,2,552,"💎 Loyal Customers"
13047,47,2,870.28,4,2,2,422,Others
16938,7,1,869.82,1,3,2,132,Others
12644,17,2,868.13,2,2,2,222,"🛑 At Risk"
17340,10,1,866.99,1,3,2,132,Others
17512,76,1,864.89,5,5,2,552,"💎 Loyal Customers"
17884,23,6,863.39,2,1,2,212,"🛑 At Risk"
16735,34,2,861.82,3,2,2,322,Others
13148,34,2,858.70,3,2,2,322,Others
17529,44,1,858.27,4,4,2,442,"💎 Loyal Customers"
15389,28,1,854.80,3,4,2,342,"📈 Potential Loyalists"
18094,48,1,854.72,4,4,2,442,"💎 Loyal Customers"
16563,6,2,851.42,1,2,2,122,"🛑 At Risk"
17696,13,3,850.32,2,1,2,212,"🛑 At Risk"
13199,2,5,848.18,1,1,2,112,"🛑 At Risk"
15059,3,4,842.87,1,1,2,112,"🛑 At Risk"
15031,20,3,841.14,2,1,2,212,"🛑 At Risk"
12359,70,2,838.89,4,2,2,422,Others
14442,37,1,838.75,3,4,2,342,"📈 Potential Loyalists"
16163,78,2,838.28,5,3,2,532,"💎 Loyal Customers"
18225,26,2,837.40,3,2,2,322,Others
13982,35,1,835.45,3,4,2,342,"📈 Potential Loyalists"
13668,35,2,831.30,3,2,2,322,Others
